Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1961","1961","gigagrams","105368.1674","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1962","1962","gigagrams","113427.244","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1963","1963","gigagrams","118932.4544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1964","1964","gigagrams","128025.1713","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1965","1965","gigagrams","137272.0303","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1966","1966","gigagrams","151669.4279","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1967","1967","gigagrams","160995.9554","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1968","1968","gigagrams","169702.2685","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1969","1969","gigagrams","176709.5351","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1970","1970","gigagrams","186992.4638","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1971","1971","gigagrams","199195.1582","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1972","1972","gigagrams","204669.1182","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1973","1973","gigagrams","219770.4385","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1974","1974","gigagrams","217072.7901","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1975","1975","gigagrams","237521.4874","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1976","1976","gigagrams","248621.7471","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1977","1977","gigagrams","253180.7177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1978","1978","gigagrams","274795.0068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1979","1979","gigagrams","280165.6537","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5000","World","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1980","1980","gigagrams","291894.8964","A","Aggregate, may include official, semi-official, estimated or calculated data"
