Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1970","1970","kg CO2eq/kg product","0.1786","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1971","1971","kg CO2eq/kg product","0.1747","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1972","1972","kg CO2eq/kg product","0.1814","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1973","1973","kg CO2eq/kg product","0.2013","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1974","1974","kg CO2eq/kg product","0.1711","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1975","1975","kg CO2eq/kg product","0.1859","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1976","1976","kg CO2eq/kg product","0.1885","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1977","1977","kg CO2eq/kg product","0.1948","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1978","1978","kg CO2eq/kg product","0.1925","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1979","1979","kg CO2eq/kg product","0.2078","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1980","1980","kg CO2eq/kg product","0.2099","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1981","1981","kg CO2eq/kg product","0.2046","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1982","1982","kg CO2eq/kg product","0.2189","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1983","1983","kg CO2eq/kg product","0.2292","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1984","1984","kg CO2eq/kg product","0.2332","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1985","1985","kg CO2eq/kg product","0.1997","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1986","1986","kg CO2eq/kg product","0.199","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1987","1987","kg CO2eq/kg product","0.2069","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1988","1988","kg CO2eq/kg product","0.1942","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1989","1989","kg CO2eq/kg product","0.1898","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1990","1990","kg CO2eq/kg product","0.2011","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1991","1991","kg CO2eq/kg product","0.1876","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1992","1992","kg CO2eq/kg product","0.2131","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1993","1993","kg CO2eq/kg product","0.2015","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1994","1994","kg CO2eq/kg product","0.1792","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1995","1995","kg CO2eq/kg product","0.2017","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1996","1996","kg CO2eq/kg product","0.1778","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1997","1997","kg CO2eq/kg product","0.1933","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1998","1998","kg CO2eq/kg product","0.1867","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","1999","1999","kg CO2eq/kg product","0.1903","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2000","2000","kg CO2eq/kg product","0.1948","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2001","2001","kg CO2eq/kg product","0.189","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2002","2002","kg CO2eq/kg product","0.1935","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2003","2003","kg CO2eq/kg product","0.1966","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2004","2004","kg CO2eq/kg product","0.1931","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2005","2005","kg CO2eq/kg product","0.1911","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2006","2006","kg CO2eq/kg product","0.1743","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2007","2007","kg CO2eq/kg product","0.1832","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2008","2008","kg CO2eq/kg product","0.1861","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2009","2009","kg CO2eq/kg product","0.1712","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2010","2010","kg CO2eq/kg product","0.184","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2011","2011","kg CO2eq/kg product","0.1845","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2012","2012","kg CO2eq/kg product","0.1764","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2013","2013","kg CO2eq/kg product","0.1832","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.181","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2015","2015","kg CO2eq/kg product","0.1781","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2016","2016","kg CO2eq/kg product","0.1896","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","71761","Emissions intensity","1718","Cereals excluding rice","2017","2017","kg CO2eq/kg product","0.1832","Fc","Calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1970","1970","gigagrams","9207.8675","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1971","1971","gigagrams","9899.7713","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1972","1972","gigagrams","10101.8434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1973","1973","gigagrams","9791.8657","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1974","1974","gigagrams","10654.9528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1975","1975","gigagrams","11098.0684","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1976","1976","gigagrams","11599.1442","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1977","1977","gigagrams","11174.8586","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1978","1978","gigagrams","11565.4912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1979","1979","gigagrams","11641.5425","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1980","1980","gigagrams","13074.8497","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1981","1981","gigagrams","13790.7818","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1982","1982","gigagrams","13479.1972","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1983","1983","gigagrams","12605.8497","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1984","1984","gigagrams","12953.8483","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1985","1985","gigagrams","14464.4566","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1986","1986","gigagrams","15365.8974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1987","1987","gigagrams","14905.7249","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1988","1988","gigagrams","16278.025","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1989","1989","gigagrams","16094.9634","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1990","1990","gigagrams","15963.178","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1991","1991","gigagrams","16678.1844","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1992","1992","gigagrams","15813.1142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1993","1993","gigagrams","16964.271","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1994","1994","gigagrams","16808.7451","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1995","1995","gigagrams","16444.7061","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1996","1996","gigagrams","18889.2059","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1997","1997","gigagrams","17493.3879","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1998","1998","gigagrams","18249.0682","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","1999","1999","gigagrams","17891.3321","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2000","2000","gigagrams","17807.5695","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2001","2001","gigagrams","18401.3682","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2002","2002","gigagrams","19238.9103","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2003","2003","gigagrams","21927.2154","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2004","2004","gigagrams","21569.4623","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2005","2005","gigagrams","22478.5086","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2006","2006","gigagrams","21716.3163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2007","2007","gigagrams","21091.0005","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2008","2008","gigagrams","23644.071","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2009","2009","gigagrams","22591.3473","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2010","2010","gigagrams","24969.9421","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2011","2011","gigagrams","24430.5028","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2012","2012","gigagrams","24469.487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2013","2013","gigagrams","26280.2327","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2014","2014","gigagrams","27625.1878","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2015","2015","gigagrams","26527.5082","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2016","2016","gigagrams","27639.4816","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2017","2017","gigagrams","29003.3234","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1970","1970","tonnes","51562386","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1971","1971","tonnes","56656712","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1972","1972","tonnes","55691223","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1973","1973","tonnes","48648209","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1974","1974","tonnes","62282654","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1975","1975","tonnes","59684162","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1976","1976","tonnes","61517787","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1977","1977","tonnes","57376577","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1978","1978","tonnes","60095335","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1979","1979","tonnes","56021523","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1980","1980","tonnes","62276062","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1981","1981","tonnes","67397237","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1982","1982","tonnes","61571171","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1983","1983","tonnes","54990397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1984","1984","tonnes","55537104","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1985","1985","tonnes","72423415","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1986","1986","tonnes","77218572","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1987","1987","tonnes","72056866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1988","1988","tonnes","83818692","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1989","1989","tonnes","84819974","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1990","1990","tonnes","79381445","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1991","1991","tonnes","88915239.7032","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1992","1992","tonnes","74201202.7156","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1993","1993","tonnes","84179343.1796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1994","1994","tonnes","93809772.6112","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1995","1995","tonnes","81539401.0196","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","5100","Africa","5510","Production","1718","Cereals excluding rice","1996","1996","tonnes","106216275.9305","A","Aggregate, may include official, semi-official, estimated or calculated data"
